id,calories,proteins,fat,carbohydrate,name,image,food_cluster,food_category
64,76.0,4.1,2.5,9.2,Bakso,https://asset.kompas.com/crops/x6OULHa8pMi47UnvDTzf1j62ov4=/3x0:700x465/750x500/data/photo/2022/08/25/6306b48bb80a1.jpeg,0,Low Carb
66,280.0,8.2,10.2,39.0,Bakwan,https://i0.wp.com/resepkoki.id/wp-content/uploads/2019/04/Resep-Bakwan-Jagung-1.jpg?fit=1749%2C1920&ssl=1,4,Snack
80,30.0,1.3,0.7000000000000001,5.8,Bayam kukus,https://img-global.cpcdn.com/recipes/ff942e133f5dc64e/680x482cq70/bayam-kukus-foto-resep-utama.jpg,0,Low Carb
83,23.0,1.2,0.6000000000000001,3.7,Bayam rebus,https://img-global.cpcdn.com/recipes/5be8dc1e0002f811/1200x630cq70/photo.jpg,0,Low Carb
89,300.0,24.0,20.7,4.5,Bebek goreng,https://asset.kompas.com/crops/y8jlET9Zwl-5iykdc5t58sS-_KY=/0x52:1000x719/750x500/data/photo/2020/07/14/5f0d253a6edd5.jpg,1,High protein
91,258.0,10.6,9.5,32.5,Beef burger,https://www.certifiedirishangus.ie/wp-content/uploads/2019/11/TheUltimateBurgerwBacon_RecipePic.jpg,0,Snack
92,151.0,8.6,3.1,22.3,Beef teriyaki,https://asset.kompas.com/crops/JtJWsCZw_CXp5TnjjW6dWKhLgK0=/0x0:1000x667/1200x800/data/photo/2024/04/16/661e3cc6377c0.jpg,0,Snack
93,132.0,9.8,1.1,20.7,Beef yakiniku,https://asset.kompas.com/crops/awoHyKStB8lI_yqs1PTI3VjIHsE=/78x42:958x629/750x500/data/photo/2022/12/08/6391613d09412.jpg,0,Healthy
97,36.0,0.4,0.4,8.8,Belimbing,https://cdn0-production-images-kly.akamaized.net/vVBJG9Flt0ncPec4-hGyZftu4og=/1200x900/smart/filters:quality(75):strip_icc():format(jpeg)/kly-media-production/medias/2778801/original/086460500_1556885614-belimbing.jpg,0,Low Carb
99,417.0,25.9,19.4,32.0,Belut goreng,https://asset.kompas.com/crops/EIwKgK9ZA21scjpbrA9zMJehUIU=/100x67:900x600/750x500/data/photo/2021/03/23/6059483f259e2.jpeg,1,High protein
102,55.0,1.4,0.2,12.8,Bengkuang,https://img-cdn.medkomtek.com/IJ8JMiuKX4oTTRWfjH8p6L-y79U=/0x0/smart/filters:quality(100):format(webp)/article/UxdzvauUAW5QCopBgzq9A/original/1666912006-9%20Manfaat%20Bengkuang%20untuk%20Ibu%20Hamil.jpg,0,Healthy
145,199.0,2.1,1.5,44.4,Bika ambon,https://upload.wikimedia.org/wikipedia/commons/4/43/Kue_bika_ambon.JPG,4,Snack
148,458.0,6.9,14.4,75.1,Biskuit,https://s4.bukalapak.com/bukalapak-kontenz-production/content_attachments/57314/original/main_merek_biskuit_enak_shutterstock.jpg,4,Snack
157,249.0,3.4,0.4,58.0,Brem,https://upload.wikimedia.org/wikipedia/commons/c/c4/Brem_Madiun.JPG,4,Snack
158,400.0,4.0,0.7000000000000001,95.3,Brondong,https://cdn.idntimes.com/content-images/community/2020/07/lg-k15522919710053-2-25e6aa2e5c1611522cabcd2dad7de10f.jpg,4,Snack
159,141.0,15.3,3.3,12.6,Brongkos,https://asset.kompas.com/crops/GCuybR2DVru6BFg_rszv6WI4n_g=/0x0:1000x667/780x390/data/photo/2020/11/02/5f9f84e0407e9.jpg,0,High protein
166,71.0,1.7000000000000002,3.1,9.1,Buah naga merah,https://www.static-src.com/wcsstore/Indraprastha/images/catalog/full//85/MTA-51432240/no-brand_buah-naga-merah-segar-fresh-1-pcs_full01.jpg,0,Low Carb
167,56.0,0.8,1.0,10.9,Buah naga putih,https://cf.shopee.co.id/file/957f1f3ed49275a0fe2f2d9ac37524e4,0,Healthy
175,60.0,1.0,60.0,13.0,Bubur,https://awsimages.detik.net.id/community/media/visual/2021/12/13/resep-bubur-ayam-cincang_43.jpeg?w=1200,1,Snack
176,167.0,0.2,4.0,33.0,Bubur sagu,https://cdn.grid.id/crop/0x0:0x0/filters:format(webp):quality(100)/photo/2021/12/08/resep-bubur-sagu-menu-sarapan-m-20211208103101.jpg,0,Snack
178,72.0,11.4,4.9,1.4,Bulgogi,https://asset.kompas.com/crops/MGdiKvcc-R0j5purun8FmiLeX_U=/0x0:0x0/750x500/data/photo/2020/12/23/5fe2c9413a6ce.jpg,0,Low Carb
183,30.0,2.2,0.2,6.4,Buncis rebus,https://d1vbn70lmn1nqe.cloudfront.net/prod/wp-content/uploads/2022/11/15080206/selain-enak-ini-manfaat-buncis-rebus-yang-baik-untuk-kesehatan-halodoc.jpg,0,Low Carb
190,141.0,4.4,10.2,8.0,Buntil daun talas,https://i0.wp.com/borobudurnews.com/wp-content/uploads/2021/05/buntil-daun-talas-khas-Magelang.jpg?fit=979%2C579&ssl=1,0,Low Carb
203,97.0,5.8,6.3,4.2,Cap cai sayur,https://awsimages.detik.net.id/community/media/visual/2021/12/25/resep-capcay-kuah-kental.jpeg?w=1200,0,Low Carb
204,24.0,1.9,0.2,3.7,Carica papaya,https://i0.wp.com/ygi.or.id/wp-content/uploads/2021/10/Manfaat-pepaya-www.ygi_.or_.id_.jpg?resize=678%2C381&ssl=1,0,Low Carb
205,460.0,0.8,18.7,17.2,Cassavastick,https://media.istockphoto.com/id/903103922/photo/brazilian-food-mandioca-frita-deep-fried-cassava-root.jpg?s=612x612&w=0&k=20&c=RIZaQ0OELoqJeCQ-o2MwszL-uTwLxuW1q95PiZZmzcw=,1,Snack
206,116.0,3.0,0.4,28.6,Cempedak,https://images.genpi.co/uploads/kalbar/arsip/normal/2022/07/15/buah-cempedak-foto-istockphotocom-n3j5.jpg,0,Healthy
210,168.0,13.0,9.6,7.5,Chicken teriyaki,"https://cdn.apartmenttherapy.info/image/upload/f_jpg,q_auto:eco,c_fill,g_auto,w_1500,ar_16:9/k%2FPhoto%2FRecipes%2F2024-05-chicken-teriyaki-190%2Fchicken-teriyaki-190-171-horizontal",0,Low Carb
213,472.0,2.0,29.8,62.7,Coklat manis batang,https://www.mampu.or.id/wp-content/uploads/2022/10/6007a9065cace.jpeg,4,Snack
214,504.0,5.5,52.9,29.2,Coklat pahit batang,https://nilaigizi.com/assets/images/produk/produk_1535873875.jpg,1,Snack
215,381.0,9.0,35.0,53.6,Coklat susu batang,https://www.nyonyor.com/wp-content/uploads/2018/11/Harga-Coklat-Batangan-Terbaru-540x350.jpg,1,Snack
216,210.0,1.6,6.6,35.8,Combro,https://www.dapurkobe.co.id/wp-content/uploads/combro.jpg,0,Snack
217,241.0,16.0,25.0,0.0,Corned beef,https://www.jessicagavin.com/wp-content/uploads/2023/03/corned-beef-hash-15-1200.jpg,1,High protein
219,84.0,6.0,6.0,1.4,Coto sapi,https://asset.kompas.com/crops/ljY1r3f3HJaNEuLip3iARQOaK-E=/0x1226:3000x3226/750x500/data/photo/2021/06/11/60c2acf88c6f0.jpg,0,Low Carb
222,265.0,40.6,10.1,0.0,Cumi-cumi goreng,https://i0.wp.com/resepmasakandapurarie.com/wp-content/uploads/2014/09/Resep-Cumi-Goreng-Tepung-Crispy-.jpg,2,High protein
1079,182.0,32.0,6.0,0.0,Daging sapi asap,https://asset.kompas.com/crops/FMBgpWLQutfbdsgz0ZytI8a9JKo=/0x542:1080x1262/750x500/data/photo/2022/03/22/6239b98488b17.jpg,2,High protein
320,433.0,55.0,9.0,0.0,Dendeng daging sapi,https://awsimages.detik.net.id/community/media/visual/2022/02/20/resep-dendeng-sapi-medan_43.jpeg?w=700&q=90,2,High protein
321,598.0,74.3,26.9,9.2,Dendeng mujair goreng,https://img-global.cpcdn.com/recipes/c49ebd05c391ae54/680x482cq70/dendeng-mujair-foto-resep-utama.jpg,2,High protein
325,395.0,3.0,5.7,81.2,Dodol,https://asset.kompas.com/crops/e3JycmGm1r9fr7krT-Kj-p7R3m0=/32x18:1000x664/750x500/data/photo/2023/03/03/64014f11134b7.jpeg,4,Snack
335,63.0,1.0,0.2,16.1,Duku,https://smpn11.bimakota.sch.id/upload/kontent/1747192829_2f42bf8a03c37a94f1b6.jpg,0,Healthy
336,134.0,2.5,3.0,28.0,Durian,https://asset-a.grid.id/crop/0x0:0x0/x/photo/2023/01/20/alasan-mengapa-buah-durian-diseb-20230120035049.jpg,0,Healthy
341,590.0,18.5,57.0,0.0,Empal goreng,https://ikafood.com/wp-content/uploads/2020/09/Empal-Gepuk.jpg,1,High protein
350,210.0,4.0,12.5,20.6,Es krim,https://cdn0-production-images-kly.akamaized.net/HfkjSnesMVgDaS0dVGBUFFN6sZw=/1200x1200/smart/filters:quality(75):strip_icc():format(webp)/kly-media-production/medias/2769420/original/063670200_1554367843-birthday-break-caramel-461430.jpg,0,Snack
351,156.7,3.0,1.7000000000000002,32.7,Es krim (coconut milk) ,https://cdn.nutritioninthekitch.com/wp-content/uploads/2022/03/Coconut-ice-cream-5-800x1184.jpg,0,Snack
352,152.0,0.0,0.0,37.6,Es mambo,https://i.ytimg.com/vi/KaNuvRPUxrU/hq720.jpg?sqp=-oaymwEhCK4FEIIDSFryq4qpAxMIARUAAAAAGAElAADIQj0AgKJD&rs=AOn4CLAHLm88cAYfeWKD84DAlLJjg8RbiA,0,Snack
353,44.8,0.0,0.0,11.3,Es sirup,"https://cdn.yummy.co.id/content-images/images/20220619/xfaVB26SMb4zm5RAt72MsKdSiArIkWyc-31363535363231363533d41d8cd98f00b204e9800998ecf8427e.jpg?x-oss-process=image/resize,w_388,h_388,m_fixed,x-oss-process=image/format,webp",0,Healthy
354,270.0,12.3,15.9,19.3,Fillet o-fish,https://www.recipetineats.com/wp-content/uploads/2018/08/Homemade-Filet-O-Fish_3.jpg,0,Snack
356,137.0,6.1,3.2,21.0,Gado-gado,"https://blue.kumparan.com/image/upload/fl_progressive,fl_lossy,c_fill,f_auto,q_auto:best,w_640/v1634025439/6e77cc47631ebb72641e426f6746ae61b2f6a66640125185f0a16236c8ce593d.jpg",0,Healthy
381,360.0,1.3,6.4,74.3,Getuk goreng,https://resepkoki.id/wp-content/uploads/2016/03/Resep-Getuk-goreng.jpg,4,Snack
382,171.4,4.0,4.0,32.0,Getuk lindri,https://asset-a.grid.id/crop/0x0:0x0/x/photo/2018/12/21/1509136869.jpg,0,Snack
383,144.0,1.1,0.4,34.1,Getuk pisang,https://asset.kompas.com/crops/l3xnQh1pGb-JXXnQlqwMVzdfRMo=/0x0:1000x667/750x500/data/photo/2022/12/25/63a7a3ef59ddd.jpeg,0,Healthy
384,204.0,0.5,1.4,47.4,Getuk singkong,https://images.tokopedia.net/img/KRMmCm/2022/8/9/d04d11c4-f1e5-4595-8166-a53955b475ca.jpg,4,Snack
389,160.0,3.3,9.2,16.0,Gudeg,https://1.bp.blogspot.com/-dubLmtxl4XI/V9NzynrpH4I/AAAAAAAAZTY/Mh8U8r2Fy58EWteb0ARFDyZWj7Wot4n0ACLcB/s1600/A%2BGUDEG%2BBASAH%2BIG.jpg,0,Snack
396,148.0,10.0,9.8,5.0,Gulai ikan,https://www.dapurkobe.co.id/wp-content/uploads/gulai-ikan-pedas.jpg,0,Low Carb
397,126.0,4.2,9.4,6.2,Gulai kambing,https://www.dapurkobe.co.id/wp-content/uploads/gulai-kambing.jpg,0,Low Carb
401,132.0,9.0,7.2,7.8,Gulai jamur tiram,https://cdn0-production-images-kly.akamaized.net/wtj8vFULULeAeNeNyZSsZnfHABk=/0x321:1280x1042/500x281/filters:quality(75):strip_icc():format(webp)/kly-media-production/medias/5036322/original/059972300_1733384136-photo__2_.jpg,0,Low Carb
402,192.0,12.7,10.1,12.7,Gurame asam manis,https://d12man5gwydfvl.cloudfront.net/wp-content/uploads/2020/03/shutterstock_1561182373.jpg,0,Snack
412,456.0,46.5,24.4,0.0,Ikan asin gabus goreng,https://images.tokopedia.net/img/cache/700/product-1/2019/7/27/6486945/6486945_99c1b375-e266-42bb-b539-f5731fb74114_960_960.jpg,2,High protein
418,430.0,33.4,32.4,0.0,Ikan asin teri goreng,https://img-global.cpcdn.com/recipes/15714e008b15f3e0/680x482cq70/teri-segar-goreng-tanpa-minyak-foto-resep-utama.jpg,1,High protein
468,252.0,19.9,19.1,0.0,Ikan lele goreng,"https://blue.kumparan.com/image/upload/fl_progressive,fl_lossy,c_fill,f_auto,q_auto:best,w_640/v1634025439/01gj4z2tjvk8femk4gk1s3q3es.jpg",1,High protein
474,188.0,19.3,12.2,0.0,Ikan mas goreng,https://cdn1-production-images-kly.akamaized.net/PoXdFBAzit7rJj6MDEQSxQ35dT8=/0x462:5162x3371/1200x675/filters:quality(75):strip_icc():format(webp)/kly-media-production/medias/2930376/original/062217400_1570175183-shutterstock_445394449.jpg,0,High protein
475,209.0,15.2,11.3,11.8,Ikan mas pepes,https://www.primarasa.co.id/images/images/pepes%20ikan%20mas%20duri%20lunak%281%29%281%29.jpg,0,High protein
479,416.0,46.9,23.9,0.0,Ikan mujair goreng,https://i.ytimg.com/vi/AmTJgTlFhio/maxresdefault.jpg,2,High protein
480,121.0,21.7,2.8,0.8,Ikan mujair pepes,https://cnc-magazine.oramiland.com/parenting/original_images/pepes_ikan_mujair.jpg,0,High protein
486,144.0,17.5,6.3,4.3,Ikan patin bakar,https://awsimages.detik.net.id/community/media/visual/2022/05/16/resep-ikan-patin-bakar-bumbu-kecap-pedas_43.jpeg?w=1200,0,High protein
522,347.0,48.8,6.4,19.6,Ikan teri tepung,https://awsimages.detik.net.id/community/media/visual/2024/01/07/resep-ikan-teri-goreng-ketumbar_43.jpeg?w=1200,2,High protein
539,142.0,5.0,0.7000000000000001,30.3,Jagung muda rebus,https://img-global.cpcdn.com/recipes/692c7955006bca76/1200x630cq70/photo.jpg,0,Healthy
547,175.0,1.8,1.8,35.0,Jagung rebus,https://asset.kompas.com/crops/L0i8I7tD8bIDLcs9nVG_Ok9egfI=/0x0:1000x667/750x500/data/photo/2021/10/05/615b9e713eeda.jpg,0,Snack
553,286.0,48.5,9.2,2.3,Jambal goreng,https://img-global.cpcdn.com/recipes/c8380e9b21a49f17/680x482cq70/ikan-asin-jambal-goreng-renyah-tips-foto-resep-utama.jpg,2,High protein
554,46.0,0.6000000000000001,0.0,11.8,Jambu air,https://d1vbn70lmn1nqe.cloudfront.net/prod/wp-content/uploads/2022/10/17025702/manfaat-jambu-air-untuk-ibu-hamil-muda-halodoc.jpg.webp,0,Healthy
555,49.0,0.9,0.30000000000000004,12.2,Jambu biji,https://asset.kompas.com/crops/4TGyZIJJ3wev1NuC6g-2Pggg6tA=/51x58:931x644/750x500/data/photo/2022/10/28/635b7364a7089.jpg,0,Healthy
556,61.0,0.9,0.30000000000000004,15.4,Jambu biji putih,https://asset.kompas.com/crops/5tqZoxNrD7W4y60L4TJeRG9hIDM=/2x1:1000x667/375x240/data/photo/2021/06/15/60c8497419234.jpg,0,Healthy
557,56.0,0.6000000000000001,0.30000000000000004,14.2,Jambu bol,https://asset.kompas.com/crops/CRaVBVmC7B0888k4y86iwwNsCvo=/0x41:1000x707/750x500/data/photo/2021/06/15/60c82d8d8e0d2.jpg,0,Healthy
558,64.0,0.7000000000000001,0.6000000000000001,15.8,Jambu monyet,https://images.tokopedia.net/img/cache/500-square/product-1/2018/1/7/15542540/15542540_dac5a5c7-8e74-415d-b2c9-2725481acb7d_705_628.jpg,0,Healthy
573,381.7,9.5,9.5,65.8,Jenang,https://cdn.idntimes.com/content-images/community/2022/01/fromandroid-fbaa0f050bd3678e2e78518c3020f9f9_600x400.jpg,4,Snack
579,45.0,0.9,0.2,11.2,Jeruk manis,https://img.okezone.com/content/2015/07/30/298/1187784/tips-pilih-jeruk-berkualitas-baik-segar-oOeyrrcWKr.jpg,0,Healthy
588,330.0,23.8,1.4,60.2,Kacang arab,https://img.okezone.com/content/2021/02/04/298/2356167/mengenal-chickpea-kacang-arab-penuh-nutrisi-yang-baik-untuk-tubuh-ahltPCXlfV.jpg,4,High protein
589,533.0,27.8,38.1,28.8,Kacang atom,https://img-global.cpcdn.com/recipes/74c03b7bf26daaf4/680x482cq70/sukro-kacang-atom-foto-resep-utama.jpg,1,High protein
596,370.0,16.0,6.0,65.0,Kacang bogor kering,https://down-id.img.susercontent.com/file/id-11134207-7qul3-lirjt22bafyvb9,4,High protein
609,109.0,8.7,0.5,18.3,Kacang hijau rebus,https://awsimages.detik.net.id/community/media/visual/2020/03/17/0f8b294d-2ef8-4e15-bba5-ed01b3f6f25d_43.jpeg?w=1200,0,Healthy
614,445.0,11.0,11.0,65.5,Kacang kapri goreng,https://filebroker-cdn.lazada.co.id/kf/S79ca9b601e6c4f438321c6d1dfc619f2v.jpg,4,Snack
617,521.0,32.2,37.7,22.9,Kacang kedelai goreng,https://www.static-src.com/wcsstore/Indraprastha/images/catalog/full/catalog-image/93/MTA-155353341/no_brand_kacang_kedelai_goreng_gurih_-_250gr_-_makanan_ringan_enak_-_jajanan_kekinian_full01_a983ca6d.jpg,1,High protein
619,75.0,4.1,2.1,10.7,Kacang kedelai kukus,https://lh6.googleusercontent.com/proxy/NhhxNtXSKolQO-iCXHc7CxDN03g_XrUnU40ibMCG88kZlnNxK2jKkwzNHne_0DAG10ts_DVw3kV8KC74rVV08VzVAyAmfmhRFD0cNcJFHlTNuwVLpn005FPwGvXGfEzAE-0iZ1O7xhdAlLv1TqOB-_nunDay8iOAJv5ziiR3K6GPpqnm38xFZMcqMGTjQSpH2wvqfvFf34cOJO7Y9L6gl6Kc7A,0,Healthy
620,189.0,20.2,8.2,12.7,Kacang kedelai rebus,https://ayana-gohan.com/wp-content/uploads/steamed-soy-beans-step-4-510x286.jpg,0,High protein
630,158.0,10.3,0.9,28.2,Kacang merah kering rebus,https://asset.kompas.com/crops/Nas6r0JWAfSTCuULYQOzawPHY1I=/59x3:885x554/780x390/data/photo/2022/02/16/620ca71bcdae7.jpg,0,Snack
632,144.0,10.0,1.0,24.7,Kacang merah segar rebus,https://cdn1-production-images-kly.akamaized.net/sw7MW5kTq2GgNjLOMmVju4J51qI=/546x0:1994x1448/1200x900/filters:quality(75):strip_icc():format(webp)/kly-media-production/medias/2578999/original/060869200_1546581834-shutterstock_197295407.jpg,0,Healthy
634,629.0,20.4,56.3,19.8,Kacang mete goreng,https://fibercreme.com/wp-content/uploads/2025/02/Mete-B.webp,1,High protein
639,39.0,3.0,0.6000000000000001,7.6,Kacang panjang kukus,https://asset-a.grid.id/crop/0x0:0x0/700x465/photo/2021/08/20/kacang-panjangjpg-20210820065144.jpg,0,Low Carb
640,150.0,2.5,12.5,7.0,Kacang panjang tumis,https://asset.kompas.com/crops/If5HOEMwzIA4cyaXwjSvrF79U2E=/1x25:963x667/750x500/data/photo/2021/02/27/6039ddfacfede.jpg,0,Low Carb
642,484.0,8.8,26.1,57.7,Kacang sukro,"https://static.wixstatic.com/media/7fd6ee_f5d03547e42749c5b5f2ca58c19f3a99~mv2.jpg/v1/fill/w_480,h_480,al_c,q_80,usm_0.66_1.00_0.01,enc_avif,quality_auto/7fd6ee_f5d03547e42749c5b5f2ca58c19f3a99~mv2.jpg",4,Snack
645,564.0,25.5,44.4,25.5,Kacang tanah goreng,https://cdn.rasa.my/2018/10/Untitled-design33.png,1,High protein
648,385.0,14.0,31.0,13.0,Kacang tanah rebus,https://img-global.cpcdn.com/recipes/ff019c14f757cfbf/1200x630cq70/photo.jpg,1,Snack
650,513.0,17.5,32.5,44.3,Kacang tanah rempeyek,https://img.okezone.com/content/2020/06/15/298/2230610/resep-peyek-kacang-tanah-dan-udang-rebon-renyah-bikin-terus-ngunyah-3j0ZqjZUGs.jpg,1,High protein
651,569.0,28.8,48.4,15.8,Kacang tanah sangan,https://m.ftscrt.com/food/d14798a4-6726-4012-9d04-74d0b6eb88f8_lg_sq.jpg,1,High protein
654,748.0,20.8,20.8,124.8,Kacang telur,https://www.asterra.id/wp-content/uploads/2024/02/kacang-telor.jpg,4,High protein
659,451.0,11.2,20.2,59.7,Kacang tunggak rempeyek,https://img-global.cpcdn.com/recipes/e5c5f8d415c85a58/1200x630cq80/photo.jpg,4,Snack
674,30.0,3.2,0.7000000000000001,4.7,Kangkung kukus,https://cdn1-production-images-kly.akamaized.net/A3CuOjVcvmP6noevlbrt75x6srk=/1200x1200/smart/filters:quality(75):strip_icc():format(webp)/kly-media-production/medias/3446098/original/094275500_1619997238-stir-fried-vegetables-2245082_1280.jpg,0,Low Carb
675,22.0,2.5,0.6000000000000001,3.1,Kangkung rebus,https://cdn0-production-images-kly.akamaized.net/-w7C3Sli-qWhlPa4hmzbg324XkA=/190x0:855x665/1200x1200/filters:quality(75):strip_icc():format(webp)/kly-media-production/medias/4353847/original/077195900_1678438446-shutterstock_1262667451.jpg,0,Low Carb
677,52.0,1.8,3.6,3.0,Kangkung tumis,https://scm-assets.constant.co/scm/unilever/e9dc924f238fa6cc29465942875fe8f0/17ea3056-4e78-4d25-bd54-cf3a9296188b.jpg,0,Low Carb
683,146.7,5.9,5.9,19.7,Karedok,https://asset.kompas.com/crops/szsUOraQ00vakiV0314KT6-71v8=/0x0:1000x667/750x500/data/photo/2021/07/07/60e56c9f60649.jpg,0,Healthy
685,292.0,11.2,11.2,2.8,Karoket,https://img.mbizmarket.co.id/products/thumbs/800x800/2022/01/27/9f2eba3c7cec21900a01aa8336e0779e.jpg,0,Low Carb
691,464.0,1.2,18.6,73.0,Kecimpring singkong goreng,https://www.eresep.com/media/images/resep/2020/11/18/u9be0rva491sknkbkqfhhuifa1kecip.jpg.1000x650_q85.jpg,4,Snack
696,47.0,0.5,0.2,10.4,Kedondong,https://images.tokopedia.net/img/cache/500-square/VqbcmM/2021/12/4/5329d842-9637-48e3-9d33-eb653a5d9f88.jpg,0,Healthy
697,326.0,22.8,20.3,13.1,Keju,https://cdns.klimg.com/merdeka.com/i/w/news/2020/05/08/1175035/content_images/670x335/20200508114326-1-ilustrasi-keju-008-destriyana.jpg,1,High protein
700,17.0,0.2,0.1,3.8,Kelapa muda air,https://img.okezone.com/content/2023/02/10/298/2762492/6-manfaat-minum-air-kelapa-muda-selain-melepas-dahaga-TMckAbHjlI.jpeg,0,Low Carb
701,68.0,1.0,0.9,14.0,Kelapa muda daging,https://okuekspres.bacakoran.co/upload/df77f96cdf5c385640869155bcd7cfc4.jpg,0,Healthy
704,214.0,5.4,5.4,40.2,Klepon,https://static.uc.ac.id/fikom/2020/12/Pic-1.jpeg,0,Snack
708,380.0,48.9,13.8,23.3,Kembang tahu,https://asset.kompas.com/crops/sgS6iHzRJjt2l5GMjgtm8spQscM=/0x0:1000x667/750x500/data/photo/2020/08/22/5f412ff8eee87.jpg,2,High protein
713,83.0,2.0,0.1,19.1,Kentang rebus,https://stikeshb.ac.id/wp-content/uploads/2025/08/1.-Kentang-rebus-berapa-kalori.jpg,0,Healthy
724,586.0,4.9,40.6,50.2,Keripik bayam,https://asset.kompas.com/crops/jYESdylVwVMIxcGzRhIFfZhPjnI=/0x28:1000x694/750x500/data/photo/2021/06/12/60c3ff4b72ad0.jpeg,1,Snack
725,446.0,2.8,14.5,76.0,Keripik gadung,https://www.ngadipuro.desa.id/desa/upload/artikel/sedang_1634355777_keripik-gadung.jpg,4,Snack
726,448.0,2.7,18.8,67.1,Keripik kentang,https://asset.kompas.com/crops/TaJKfxhk6isVM1cCWS03MJ-LeZw=/32x12:1000x657/780x390/data/photo/2022/05/25/628d7e2eb24a9.jpg,4,Snack
728,598.0,8.3,43.8,42.6,Keripik oncom,https://www.static-src.com/wcsstore/Indraprastha/images/catalog/full//110/MTA-64985681/no-brand_keripik-oncom-goreng-250-gr-_full01.jpg,1,Snack
729,478.0,0.9,20.7,72.0,Keripik singkong,https://images.tokopedia.net/img/HCoJbh/2025/3/4/bdba2c17-ebb2-4a28-ad50-40c870c0d7c7.jpg,4,Snack
730,481.0,2.2,19.7,73.6,Keripik singkong berbumbu,https://www.primarasa.co.id/images/images/Keripik%20Singkong%20Balado%20-%20resep.jpg,4,Snack
731,581.0,12.1,40.6,41.7,Keripik tempe,https://asset.kompas.com/crops/KyUJtKB-FtZgdD7W79OVvCOMUyg=/32x53:1000x699/1200x800/data/photo/2022/05/26/628ed4697e327.jpeg,1,Snack
735,486.0,0.2,23.9,67.6,Keripik ubi,https://www.magfood.com/wp-content/uploads/2024/10/Resep-Usaha-Keripik-Ubi-Jalar-dan-Cara-Mengurus-Izin-Edarnya.jpg,4,Snack
737,350.0,0.5,0.2,85.9,Kerupuk aci,https://asset.tribunnews.com/gpTAmqBVBi8SP-EQaCFgEg4ioZE=/1200x675/filters:upscale():quality(30):format(webp):focal(0.5x0.5:0.5x0.5)/tribunnews/foto/bank/originals/kerupuk.jpg,4,Snack
738,444.0,6.9,14.6,71.3,Kerupuk cumi goreng,https://pesonanusantara.co.id/images/upload//p/e/pes-kerupuk-cumi-mgl.jpg,4,Snack
739,342.0,16.0,0.4,65.6,Kerupuk ikan,https://cdns.klimg.com/merdeka.com/i/w/news/2022/01/30/1402857/content_images/670x335/20220130223844-1-kerupuk-ikan-patin-001-fellyanda-suci-agiesta.jpg,4,High protein
741,504.0,5.6,28.1,57.1,Kerupuk kemplang goreng,https://asset.kompas.com/crops/Qu-uGRiw6A4NINs_6VhIZBrvp1I=/0x386:667x831/750x500/data/photo/2021/05/12/609b4a1d9af08.jpg,1,Snack
